Transaction files: 1, Total Count: 25055,Time Taken: 1544s, Throughput: 16.23, Average: 61.63ms, Median: 12ms, 95: 236ms, 99: 383ms
Transaction name: Ord, Total time: 0, Total count: 122 

Transaction name: Pop, Total time: 0, Total count: 131 

Transaction name: New, Total time: 0, Total count: 4727 

Transaction name: Rel, Total time: 226, Total count: 61 

Transaction name: Pay, Total time: 120, Total count: 18690 

Transaction name: Del, Total time: 0, Total count: 1183 

Transaction name: Sto, Total time: 0, Total count: 141 

Transaction files: 13, Total Count: 14134,Time Taken: 1966s, Throughput: 7.19, Average: 139.04ms, Median: 83ms, 95: 286ms, 99: 326ms
Transaction name: Pop, Total time: 0, Total count: 100 

Transaction name: Ord, Total time: 0, Total count: 126 

Transaction name: New, Total time: 0, Total count: 6671 

Transaction name: Rel, Total time: 553, Total count: 62 

Transaction name: Pay, Total time: 3, Total count: 1050 

Transaction name: Del, Total time: 0, Total count: 5997 

Transaction name: Sto, Total time: 0, Total count: 128 

Transaction files: 19, Total Count: 33614,Time Taken: 2045s, Throughput: 16.44, Average: 60.81ms, Median: 11ms, 95: 137ms, 99: 350ms
Transaction name: Pop, Total time: 0, Total count: 120 

Transaction name: Ord, Total time: 0, Total count: 138 

Transaction name: New, Total time: 0, Total count: 4177 

Transaction name: Rel, Total time: 605, Total count: 67 

Transaction name: Pay, Total time: 126, Total count: 27796 

Transaction name: Del, Total time: 0, Total count: 1198 

Transaction name: Sto, Total time: 0, Total count: 118 

Transaction files: 2, Total Count: 15855,Time Taken: 2100s, Throughput: 7.55, Average: 132.39ms, Median: 85ms, 95: 295ms, 99: 396ms
Transaction name: Ord, Total time: 0, Total count: 136 

Transaction name: Pop, Total time: 0, Total count: 127 

Transaction name: New, Total time: 0, Total count: 10702 

Transaction name: Rel, Total time: 474, Total count: 69 

Transaction name: Pay, Total time: 9, Total count: 2241 

Transaction name: Del, Total time: 0, Total count: 2451 

Transaction name: Sto, Total time: 0, Total count: 129 

Transaction files: 4, Total Count: 12892,Time Taken: 2624s, Throughput: 4.91, Average: 203.48ms, Median: 110ms, 95: 262ms, 99: 301ms
Transaction name: Pop, Total time: 0, Total count: 126 

Transaction name: Ord, Total time: 0, Total count: 120 

Transaction name: New, Total time: 0, Total count: 4870 

Transaction name: Rel, Total time: 1089, Total count: 67 

Transaction name: Pay, Total time: 6, Total count: 1627 

Transaction name: Del, Total time: 0, Total count: 5959 

Transaction name: Sto, Total time: 0, Total count: 123 

Transaction files: 11, Total Count: 46238,Time Taken: 3300s, Throughput: 14.01, Average: 71.35ms, Median: 11ms, 95: 118ms, 99: 325ms
Transaction name: Pop, Total time: 0, Total count: 113 

Transaction name: Ord, Total time: 0, Total count: 135 

